"signature","gene","module","source_basis"
"contractile_vsmc","SRF","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","MYLK","contractile","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","COL1A1","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","COL3A1","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","COL5A1","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","FN1","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","VCAN","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","SPARC","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","DCN","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","LUM","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","CTGF","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","FGF2","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","MMP2","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"synthetic_vsmc","TIMP1","synthetic_ecm","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","IL6","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","CCL2","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","CCL5","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","CXCL8","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","CXCL12","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","ICAM1","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","VCAM1","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","NFKB1","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","RELA","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","STAT3","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","TNF","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"inflammatory_vsmc","IL1B","inflammatory","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","RUNX2","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","SOX9","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","ALPL","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","BMP2","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","MSX2","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","KLF4","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","MMP9","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","MMP14","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","COL1A1","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","SPARC","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","SPP1","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
"ecm_remodeling_vsmc","POSTN","ecm_osteogenic","canonical VSMC markers and plaque single-cell literature audit"
